名無し＠18歳未満の入場禁止 無断転載禁止<>age<>2023/07/17(月) 21:40:20.78 ID:me+U5AJt0<> 最強 <>青とピンクのコントラスト 	
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:43.26 ID:8RI8Kt3h0<> これかぁ&#128052; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:43.32 ID:wQaehX4H0<> &#129412;…20% <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:43.93 ID:gmSWXdwn0<> <a href="../test/read.cgi/livemegami/1689597620/195" rel="noopener noreferrer" target="_blank">&gt;&gt;195</a> <br> どこがだよ&#128517;&#128517;&#128517; <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:41:45.15 ID:x/Pbu4Tj0<> 華あるやん <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:41:45.62 ID:a5t2dzxb0<> 超特大質ライブきたわ <br>  <br> 4thフェス超えてきたな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:45.73 ID:2gm9OlYk0<> おまえらこれ知らんとかマジ？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:41:46.18 ID:pXhHbg/40<> 嵐...？&#129412; <br>  <br>  <br> &#128052;... <br>  <br>  <br> まあええか&#129412; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:46.79 ID:pjUnBFa+0<> 嵐やないか！！！&#128548;&#128548;&#128548;&#128548; <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:41:46.70 ID:C0S87p2C0<> かなたそ&#128525; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:47.27 ID:X1CGqAAg0<> 聞いたことある <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:47.39 ID:qr+C+6830<> あーこれかー <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:47.77 ID:SbJKUTuO0<> あ、これかぁ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:47.85 ID:n3TQzyWH0<> ぺこら軍団 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:41:47.90 ID:a6SET0zg0<> これこれ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:47.87 ID:pRoUTdrB0<> 並ぶとあずきちデケェなｗ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:48.12 ID:IOXW2WqV0<> 聞いたことあるやろ？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:48.80 ID:uwGBukP/0<> なっつ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:49.09 ID:Skx3kWB30<> サビでわかったわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:41:49.48 ID:4bweZqaD0<> 嵐の2000年代は名曲多いよな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:41:49.64 ID:64SN51X60<> えー、ぺこら24最強同接順です <br> 2期・3期帰れま10→14万 <br> ぺこライブ→13万 <br> 3期生トリセツ→12万 <br> あくぺこ→10万 <br> ワードウルフ→9万 <br> ままぺこ→9万 <br> 以下略 <br>  <br> 過去行われたどの「◯◯24」シリーズよりも好成績を納めた事をここに記します <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:49.39 ID:CDG4XOvz0<> この曲最近ぺこらよく口ずさんでたな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:49.81 ID:Myk1HAtS0<> ああこの曲か <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:49.82 ID:1Qvwytew0<> ペっさん重岡の曲も広めてやれよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:41:49.82 ID:lfCjtRut0<> あーこれかあ！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:41:49.84 ID:QRn0Jq210<> 聞いたことある曲だった <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:50.43 ID:kK8wrU6w0<> あっこれかぁ！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:50.56 ID:6Bq2wTAl0<> <a href="../test/read.cgi/livemegami/1689597620/187" rel="noopener noreferrer" target="_blank">&gt;&gt;187</a> <br> 許可取りに行けばええんちゃうか。なんか消えそうな気はするけど <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:41:50.49 ID:kPXsLHI10<> 普通にいい曲で草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:41:50.60 ID:jH+/ShcS0<> なんか歌い手()みたいな奴混じってんな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:51.36 ID:RUBQMaNJ0<> あずきち背高いよな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:52.18 ID:OkTZt/cM0<> あくぺこでみこに対抗すると結局伸びるのはマリンだな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:41:52.22 ID:CDfHsf+e0<> なんか聴いた事ありそうでないと思ったら聴いた事あるわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:52.86 ID:nyc4OwvK0<> おしりだせ～ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:41:53.05 ID:9MGzvvD+0<> Troublemaker歌え&#128545; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:53.05 ID:P+SsUZeJ0<> 性犯罪者のジャニーズさんの曲やって大丈夫か？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:53.09 ID:rkMN2Fu10<> もういい、あくぺこ大戦争に変えよう <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:53.44 ID:FdYQfxmq0<> <a href="../test/read.cgi/livemegami/1689597620/164" rel="noopener noreferrer" target="_blank">&gt;&gt;164</a> <br> 固定ツイートに書いてあるから見てきたら？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:54.15 ID:evWrDe+H0<> ああこれか <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:54.13 ID:Ada0tgQb0<> ジャニーさんどりゃあああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:55.21 ID:paZ4jKiQ0<> へいみん救済ライブ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:55.43 ID:m/qDPpc+0<> 130000どりゃあああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:56.03 ID:saDyVDZT0<> 山下達郎聞いてるか？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:41:56.16 ID:WPnnaOLF0<> ジャニさん見ててくれよ！！！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:41:56.52 ID:RXyEuESk0<> 並ぶと小豆だけ違和感あるのなんなんだろうｗ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:56.92 ID:f28bo6450<> なつかしいわw <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:57.06 ID:O7T93TxS0<> 自分の趣味だしてきたな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:41:56.94 ID:f0rM5GfW0<> 懐かしいなw <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:57.30 ID:R+43x1AS0<> 嵐復活待ってます <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:41:57.78 ID:te4RBs/60<> あくたん覚えるために初めて聴いたんだろうな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:57.71 ID:uUv/50Z10<> なつすぎやろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:58.65 ID:mLyOSwKh0<> これより「まーちにっ！あーいのーうったっ！」って奴の方が好き <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:58.68 ID:BFUo6ebb0<> 収録したときはジャニーさんのチンシャブがまだ騒ぎになってなかったから… <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:59.27 ID:ovuFOLLY0<> サビでようやくわかったわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:59.37 ID:GJEqmpLr0<> <a href="../test/read.cgi/livemegami/1689597620/155" rel="noopener noreferrer" target="_blank">&gt;&gt;155</a> <br> 普通に歌えるよ <br> ただ弱男相手と考えると歌うかって話 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:41:59.40 ID:vfmE/lJy0<> 全員曲持ってくるのええやん <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:59.22 ID:vbCCy8xr0<> 最後に趣味持ってきたか <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:59.76 ID:6cbZUMeG0<> 嵐は良い曲多いよな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:41:59.70 ID:VNuooRIy0<> ジャニーズで問題起こしたことない嵐ってジャニーズの良心だよな <br> 嵐推しジャニまんは誇らしそう <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:59.73 ID:mmeiMSBj0<> ジャニーズなら男闘呼組歌って男闘呼組 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:41:59.69 ID:h8NdGeX20<> コーンライブすぎる <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:00.42 ID:8yV8jE3v0<> なっつ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:00.21 ID:nhbBJIP30<> びっさん… <br> えっちだ&#128525;&#128525;&#128525; <br>  <br>  <br>  <br> https://i.imgur.com/w2Wzxnr.jpg <br> https://i.imgur.com/qJbsLm7.jpg <br> https://i.imgur.com/VFLqew8.jpg <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:01.07 ID:8NDgWN/p0<> ED感あるよなこれ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:00.95 ID:sirPU2Nt0<> サビでやっとわかった <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:02.12 ID:NOeC3Yke0<> あすきち～&#129392;&#129392;&#129392; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:02.37 ID:8/gPu0X40<> ぺこちゃんの考えた最強メンバー <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:02.56 ID:byX3TQOT0<> ジャニまんこ隠せ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:02.60 ID:oRUX7sbU0<> この曲は別にジャニオタじゃなくても選曲するだろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:02.84 ID:y84Uf0Hw0<> 処女って最高だな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:03.07 ID:EE9idjZG0<> 待って！！！！！！ <br>  <br>  <br>  <br>  <br> ホロライブは児童ポルノを肯定するってことか！？&#128545;&#128545;&#128545;&#128545;&#128545;&#128545; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:03.02 ID:QfsuXB5x0<> これ嵐か <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:03.25 ID:8vHagmxu0<> あずきちでかいな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:03.73 ID:3COg82dc0<> 　　　　　　ホロライブの <br> 　　＼　メイドさんと言えば？／ <br> 　 　 　 　 ∧_∧　　　　　 ∩∩ <br> 　　　　　 (^)o(^)　　　　　('ω '  )っ <br> 　　　　　  U}i_;_)　　　　　 (つ　 ﾉ　＜あくあ先輩ぺこね <br> 　　　 　 く7､i__jヽ　　　　　〉　　| <br> 　　　　 　 ~ＵU~　　　 　 (／^ヽ） <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:03.56 ID:c+c349ZH0<> イントロと歌い出し聞いてもジャニーズの曲って分からんよな <br> サビ聞いてこの歌かってなるわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:03.63 ID:bUDGDly00<> なんか聞いたことあったわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:04.89 ID:ZJK6dV6Y0<> なあ？コレ言っていいか？ <br>  <br>  <br>  <br>  <br> いくら録りとはいえ、かなたそ喘息は？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:05.32 ID:vycc7lam0<> お前らガチで高い買い物しないんだな <br> 金ないのか、若いのか <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:05.32 ID:i/wwBjXk0<> ぺこら鼻歌でうたっとるやん <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:06.06 ID:KihLSrt40<> &#129412;嵐・・・？ <br>  <br>  <br> &#128052; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:06.21 ID:MSQ8B8os0<> かなたんの初期衣装ダンスするには邪魔すぎるな <br> ビジュアルメンテしてくれ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:06.00 ID:z/DDFi0k0<> <a href="../test/read.cgi/livemegami/1689597620/185" rel="noopener noreferrer" target="_blank">&gt;&gt;185</a> <br> 足の動きみたらすぐわかるよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:06.39 ID:nGp43Id20<> 処女ってジャニーズ歌っていいの？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:07.10 ID:oV8h/IJf0<> <a href="../test/read.cgi/livemegami/1689597620/252" rel="noopener noreferrer" target="_blank">&gt;&gt;252</a> <br> いいね <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:07.78 ID:OP1bXMK00<> 嵐ってこの辺りまでは曲良いの多かったわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:07.90 ID:p6i25CLW0<> あくぺこはユニット組んだ方がいいかもしれんな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:07.67 ID:qUFCPeYW0<> ジャニまん <br>  <br>  <br>  <br>  <br> どりゃああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:08.29 ID:dRVv9HNR0<> ダメだどうしてもあずきちに目がいってしまう <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:08.34 ID:Lk/U5ap50<> 俺のおかゆが今日も可愛い&#129392; <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:08.23 ID:PcPqXluC0<> ジャニオタ子ども部屋おばさん？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:08.66 ID:3BDEfVI30<> スパチャ「止めないで」 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:09.04 ID:1uUddEXl0<> 新しいうさ建はこのチームで行くわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:09.72 ID:kRw/lQiC0<> あくぺこ見てると華理論も理解できてくるから不思議 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:10.28 ID:U88Z+uH30<> 処女が嵐歌うわけないだろいい加減にしろ&#129324; <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:10.47 ID:Y6iUgRvO0<> ジャニーズはまずい <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:10.34 ID:Z3PGhayI0<> なんかアズキ浮いてね？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:12.71 ID:YhTeHzxM0<> 選曲良すぎだろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:13.69 ID:iRizcqLe0<> ヘイポンコツ&#129302;！これ処女率何%？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:14.47 ID:5Kpz1sch0<> すまん <br> 流石に質ライブだわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:15.21 ID:2wm6cg1E0<> クリーム塗られるわぁ... <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:15.51 ID:56VK1xr10<> ( ^)o(^ )走り出せー <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:15.58 ID:oLRZ9vxd0<> かなあず10年の絆&#128557;&#128557;&#128557;&#128557;&#128557;&#128525;&#128525;&#128525;&#128525;&#128525;&#128557;&#128557;&#128557;&#128557;&#128557; <br> ぺこちゃん…あんた”分かってんね“&#128557;&#128557;&#128557;&#128557; <br> https://i.imgur.com/CApqGQF.jpg <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:15.69 ID:jshfMVqi0<> ジャニーズいやあああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:15.43 ID:3zstqHYp0<> ジャニーさん&#129412; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:15.54 ID:OflO5tQS0<> ジャニまんさん切れない？大丈夫？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:15.91 ID:P+SsUZeJ0<> 性犯罪曲やめろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:15.96 ID:PHnKxfVy0<> メンツ100点だったわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:16.24 ID:vZiL1IsS0<> あくぺこ雪解けの日として記念日にしよう <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:17.36 ID:8zMbHVwk0<> あ、でもこの合唱聴き心地いいな&#9786; <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:18.75 ID:OswevJRd0<> <a href="../test/read.cgi/livemegami/1689597620/286" rel="noopener noreferrer" target="_blank">&gt;&gt;286</a> <br> 他小さいしな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:18.57 ID:Git84ngb0<> アズキ大きいんだな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:19.14 ID:vdaH5Dgl0<> いや既婚だからって非処女とは限らんやん <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:19.40 ID:9OmJB04N0<> かな建は歌だせ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:19.40 ID:2gm9OlYk0<> 普通に　名曲 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:19.89 ID:4ayE7HMC0<> 現状何人同時でライブ登場できるんだろな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:19.95 ID:3COg82dc0<> 　ノ彡 三ミヾ <br> （(( (( ' ω'）))) <br> 　ヾミ三彡 ソ　　　　 　≡　 　　　　　　　　 <br> 　 )ﾐ 低彡ﾉ　　　　　≡ 　( ^)o(^ ) ｳﾜｱｱｱー低気圧きた <br> 　(ﾐ 彡ノ　　　　　　　≡　/　 つ_つ <br> 　 ＼(　　　　　　　≡ 　人　 　Y <br> 　　 ) 　　　　　　　　≡し'ｰ（＿） <br>  <br>  <br>  <br> 　　　　　　　　　ノ彡 三ミヾ <br> 　　　　　　　　（(( (( ' ω'）)))　ﾌｧｯﾌｧｯﾌｧｯﾌｧｯ <br> 　　　　　　　　　ヾミ三彡 ソ　　　 <br> 　　　　　　　　　　 )ﾐ 低彡ﾉ　 <br> 　( &#160;･&#7620;&#7109;･&#7621; ) あてぃし　(ﾐ 彡ノ　　 <br> (＿,∪ ∪　休みます　 ＼(　　 <br> 　　　　　　　　　　　 ) 　 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:20.52 ID:ugEUWQij0<> <a href="../test/read.cgi/livemegami/1689597620/329" rel="noopener noreferrer" target="_blank">&gt;&gt;329</a> <br> え？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:20.53 ID:OHceGf4v0<> ホロメンってアラサーだからマジで嵐世代ドンピシャなんだよな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:21.43 ID:ZFNHWfEQ0<> 女友達とカラオケ行ったら歌われるやつじゃん <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:21.36 ID:bfqzKZ8b0<> あずおかの組み合わせええな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:22.01 ID:Hu0TsK7r0<> デカくて草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:21.75 ID:O8iQe+p10<> ぺこら軍団最高やな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:22.69 ID:VXtY75Ag0<> なんか動き重いな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:23.25 ID:1Qvwytew0<> <a href="../test/read.cgi/livemegami/1689597620/333" rel="noopener noreferrer" target="_blank">&gt;&gt;333</a> <br> えっなにこれは… <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:23.95 ID:cKi98Zl10<> ぺこみこ→ﾄﾞｩﾙ <br> あくぺこ→？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:24.45 ID:8NDgWN/p0<> <a href="../test/read.cgi/livemegami/1689597620/329" rel="noopener noreferrer" target="_blank">&gt;&gt;329</a> <br> 色々揉み消されてるからな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:24.09 ID:7vC00G4N0<> 新スタジオの性能出てんな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:24.89 ID:Myk1HAtS0<> お前らもわかってなかったのかよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:25.12 ID:ieVMfgY+0<> おかあず…そういうのもあるのか <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:26.34 ID:SHB9niba0<> NYCに中島裕翔混ざったくらいスタイルに差がある <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:27.07 ID:jPCbulp20<> &#129412;ジャニーズの曲は認める <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:27.08 ID:jQy4kdky0<> <a href="../test/read.cgi/livemegami/1689597620/261" rel="noopener noreferrer" target="_blank">&gt;&gt;261</a> <br> 関釈迦タイヨーマザーあかりんな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:27.10 ID:K+9Bg0w00<> なんかもうぺっさんに気に入られてないホロメンには未来なさそうやな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:29.02 ID:uVq/DeKw0<> 嵐なら花男の歌も聴きてぇよ&#129402; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:29.21 ID:zq22I5Lx0<> これは容認ってことが <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:31.03 ID:L6tPAthi0<> お、お、お、お、男の歌ああああああいやあああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:30.97 ID:ZI/3h6Mw0<> <a href="../test/read.cgi/livemegami/1689597620/333" rel="noopener noreferrer" target="_blank">&gt;&gt;333</a> <br> ええモデリングやな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:31.35 ID:gmSWXdwn0<> <a href="../test/read.cgi/livemegami/1689597620/347" rel="noopener noreferrer" target="_blank">&gt;&gt;347</a> <br> 喘息前ってツイートしてるけど&#128517;&#128517;&#128517; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:31.55 ID:UHcBpuy90<> これすごいのがさ <br> 全員みこ派閥じゃないってとこだよな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:31.70 ID:4J5KCJHR0<> すまん、ハピネスで泣くわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:32.09 ID:yGEZa+s90<> 山田太郎ものがたり面白かったよな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:31.81 ID:aDa1C4tC0<> <a href="../test/read.cgi/livemegami/1689597620/228" rel="noopener noreferrer" target="_blank">&gt;&gt;228</a> <br> さすがに40% <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:32.41 ID:oV8h/IJf0<> あくぺこどりゃあああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:32.36 ID:xTaKkCMD0<> ジャニーズって許諾大丈夫なん？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:32.56 ID:64SN51X60<> みこめっとは質がなかったので冷遇しますｗ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:32.37 ID:hNEtDwAM0<> 下手でもライブはホロメン本人に踊って欲しいと思う俺はおかしいのか？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:32.29 ID:DEum2r7W0<> <a href="../test/read.cgi/livemegami/1689597620/56" rel="noopener noreferrer" target="_blank">&gt;&gt;56</a> <br> 野うさぎにレズCP認定されると厄介だからな <br> クルーはこれから頑張ってくれ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/07/17(月) 21:42:33.13 ID:/8kyhuu/0<> やっぱいい歌なんよな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/07/17(月) 21:42:33.18 ID:x/Pbu4Tj0<> もう終わりそうな雰囲気 <>
