名無し＠18歳未満の入場禁止 無断転載禁止<>age<>2022/11/06(日) 21:20:05.37 ID:9p395Q460<> 13万って <>ぺこーらお前がナンバーワンだ 	
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/06(日) 21:22:50.06 ID:3ql5q57y0<> <a href="../test/read.cgi/livemegami/1667737205/187" rel="noopener noreferrer" target="_blank">&gt;&gt;187</a> <br> カレスコはモルガン3枚分のレア度だからむしろ運がいい <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:22:50.66 ID:SD88qBth0<> ぺこちゃんスイッチ？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:22:51.25 ID:1AFSslXn0<> もうホロライブってさ <br>  <br>  <br>  <br>  <br>  <br>  <br>  <br>  <br>  <br>  <br>  <br>  <br>  <br>  <br>  <br>  <br>  <br>  <br>  <br>  <br>  <br>  <br>  <br>  <br> ぺこらだけでいいよねｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:22:52.80 ID:FLofOGhi0<> 数字出すためのゴミゲーって感じ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:22:53.48 ID:arWTxkXh0<> サローメ見てるか？ <br> これが王 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/06(日) 21:22:55.30 ID:mpaNMmAK0<> 愉悦部！？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:22:55.57 ID:Zpfzqkg90<> ここまでいくとぺっさんがすごいってより他人のガチャにこれだけ群れるジャップに引いてしまうわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:22:56.93 ID:FW0hra+d0<> ぺこちゃん数字満足しました <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:22:56.78 ID:qr3YUmTy0<> もう同接出たんで大丈夫です <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:22:58.14 ID:jrBLFezF0<> 有償石ないから永遠にでないかもな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:22:59.21 ID:T1Yo0ALK0<> 愉悦部の配慮 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/06(日) 21:22:59.38 ID:y7GaQXFc0<> <a href="../test/read.cgi/livemegami/1667737205/170" rel="noopener noreferrer" target="_blank">&gt;&gt;170</a> <br> 金ネジキってなんなん？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:01.31 ID:+ZL3ZHFd0<> そういえばグラブルのときは <br> グラブルファンには金ケチったと叩かれ <br> 婆さんには金で数字買ったと叩かれてたな… <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/06(日) 21:23:01.35 ID:/oxX+gAw0<> <a href="../test/read.cgi/livemegami/1667737205/221" rel="noopener noreferrer" target="_blank">&gt;&gt;221</a> <br> 草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:01.93 ID:sSbnB+VO0<> もうあいつ一人で良いんじゃないかな……を体現している。凄いことですよこれは <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:02.02 ID:+hRODUb70<> 同接更新したので大丈夫です <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:03.32 ID:qAuUcMWA0<> <a href="../test/read.cgi/livemegami/1667737205/158" rel="noopener noreferrer" target="_blank">&gt;&gt;158</a> <br> 歌ってみたのセンスは好きよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:04.61 ID:uqbcEsdE0<> <a href="../test/read.cgi/livemegami/1667737205/164" rel="noopener noreferrer" target="_blank">&gt;&gt;164</a> <br> 前後半で分かれてるんだから単推しは片方しか見ないしENのぶんの数字もないんだからそりゃ数字落ちるよね <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/06(日) 21:23:04.76 ID:hWxLqx8Z0<> FGOっていつのまにか天井実装したのか？いつだよw <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:07.17 ID:foNG5HpL0<> ぺこらも13万超えて満足したからはよ出ろってなってるな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/06(日) 21:23:10.43 ID:XMBXgiGA0<> ぺこらとかいうゴミ炎上させて引退させたい <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/06(日) 21:23:10.77 ID:MRryw2ha0<> あの…なゆた新MVです… <br>  <br> https://i.imgur.com/rZI4Aqg.jpg <br>  <br> https://youtu.be/B3DhWLW3wvc <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:10.97 ID:Yk27qkYM0<> ぺこアンスイッチくっぞwww <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/06(日) 21:23:12.15 ID:A8/Ab+BI0<> 13万いったからもういいぞ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/06(日) 21:23:14.25 ID:nb+kNTxY0<> 13万w <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:14.57 ID:1JTZWLaY0<> <a href="../test/read.cgi/livemegami/1667737205/156" rel="noopener noreferrer" target="_blank">&gt;&gt;156</a> <br> FGOやろう <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:15.49 ID:59KaUhS00<> ぺこちゃん、サロメ越えたので運営にロック解除を申請してます <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:15.71 ID:yWqRBQ3M0<> これは個別ストーリー許諾来るのも理解できるわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:16.79 ID:Ghk3tvH90<> コメントでかわいそうとか書かれてるけど <br>  <br> 大勝利です <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/06(日) 21:23:17.67 ID:L26Qlt/q0<> きたああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:18.98 ID:tHbWIbUw0<> 最近また婆さん呼び増えてるんだけど化け物で統一されなかったっけ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/06(日) 21:23:20.16 ID:dnM5YREv0<> わんわんお！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:20.48 ID:sJzsfcLY0<> ガチャ爆死は配信的には大当たりだから問題なし <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/06(日) 21:23:21.39 ID:/oxX+gAw0<> 草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/06(日) 21:23:22.77 ID:UC0RdOcu0<> おらあああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/06(日) 21:23:23.73 ID:8tRshHbg0<> これでモルガン引けずカレスコ引いてるのおかしいだろ <br> モルガン0.8%  <br> カレスコ0.038% <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:24.13 ID:np6LTbLu0<> ぺこらは徹頭徹尾自分のことしか考えてないからこの立ち回りができるんだよな <br> 運動会にメリットがあるならもっと本気で取り組んでたよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:25.79 ID:mQz7V3JR0<> 新宿祭りや <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:27.30 ID:JWCRxjDI0<> わんわんを <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:27.74 ID:GVuYLUG50<> ロボどりゃあああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:27.85 ID:1ZSieojo0<> ワンちゃんきた <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/06(日) 21:23:28.69 ID:Ddfvb02Z0<> でもさぁ <br> その辺の野良配信者がやってるのと同じ内容で歴代更新するのも何だかなぁ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:28.78 ID:be+C0xk80<> <a href="../test/read.cgi/livemegami/1667737205/222" rel="noopener noreferrer" target="_blank">&gt;&gt;222</a> <br> そんなの気にするの数字ガイジだけだろ <br> 数字出てすげえくらいにしか思わん <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:28.83 ID:ygxyafL70<> &#128048;（記録出たからもういいっすよ&#129402;） <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:29.59 ID:SD88qBth0<> ハズレ！w <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:30.31 ID:tGFevwln0<> <a href="../test/read.cgi/livemegami/1667737205/33" rel="noopener noreferrer" target="_blank">&gt;&gt;33</a> <br> かなたやトワで枠取ってる事とか一切考慮してないよな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:31.62 ID:1AFSslXn0<> <a href="../test/read.cgi/livemegami/1667737205/222" rel="noopener noreferrer" target="_blank">&gt;&gt;222</a> <br> 悔しいなら１３万超えてください <br>  <br>  <br>  <br>  <br>  <br>  <br>  <br>  <br>  <br>  <br>  <br>  <br> できねぇならさっさと消えろ雑魚がｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:31.42 ID:dEcmFa960<> <a href="../test/read.cgi/livemegami/1667737205/222" rel="noopener noreferrer" target="_blank">&gt;&gt;222</a> <br> るしあのガチャ配信とかと違って <br> ちゃんとストーリー配信を積み重ねてきた結果だからアリだぞ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:32.52 ID:AEx05Fl+0<> ワンコロ好き&#128525; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:33.75 ID:voZlSQaQ0<> わんわん泣いちゃった！？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:35.24 ID:yhML8Yl50<> アヴェンジャー読めるの偉い <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:35.17 ID:2fa0TRRj0<> 結局ぺっさん以外がガチャ引いてもこんな数字出せる奴いねえし純粋にすげえよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:35.74 ID:T1Yo0ALK0<> デュラハンみたいなの来た <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/06(日) 21:23:35.98 ID:STTDdF/l0<> マジでぺこら見て目が覚めたわ <br> よく考えたらサロメのバイオ7後のムーブクソじゃん <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/06(日) 21:23:35.94 ID:jnwPP5nj0<> <a href="../test/read.cgi/livemegami/1667737205/222" rel="noopener noreferrer" target="_blank">&gt;&gt;222</a> <br> ぺこらとガチャの相性がいいということ <br> 一番数字出るのがガチャの人ってほぼいないからな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:37.82 ID:1JTZWLaY0<> レアなとこ引いていくなあ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:37.80 ID:rLlOQvYR0<> ホロライブのゲーム実況最高同接の神ゲーFGOをやってない底辺アンチはこのスレにおらんよな？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:39.61 ID:y8nBWEKZ0<> 今2万で120連も回るのか <br> まだ言うほど使ってないんだな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:40.42 ID:+ZL3ZHFd0<> <a href="../test/read.cgi/livemegami/1667737205/247" rel="noopener noreferrer" target="_blank">&gt;&gt;247</a> <br> なんで？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:40.38 ID:TBPPgdPb0<> ところでモルガンってのは何で人気なんや？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:40.62 ID:Txrf6J7A0<> 登山とまらんどっから来てんだよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:40.72 ID:TGzHfZyX0<> ここまで沼ると一枚目引くまではずっと上り続けるな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/06(日) 21:23:41.57 ID:YyUVVwbx0<> なあ星5はどこやねんこれw <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:43.61 ID:WzkAHsNX0<> 運動会ディスってたの婆さんかよ許せなねぇ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:45.22 ID:dKuzifFE0<> <a href="../test/read.cgi/livemegami/1667737205/95" rel="noopener noreferrer" target="_blank">&gt;&gt;95</a> <br> 待機がホロの下級ホロメンといい勝負 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:45.59 ID:Q7QVbdfX0<> まあ登るところまで登ってくれ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:47.15 ID:0CxZIx+A0<> ただのガチャで１３万人も誰が見てるんだよ終わりだよこのコンテンツ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:47.68 ID:pQc/aQjv0<> これは不正な数字 <br> よって無効。 <br> サロメが王なのは変わらず <br>  <br> いいな？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/06(日) 21:23:49.01 ID:EJfgTdf60<> <a href="../test/read.cgi/livemegami/1667737205/259" rel="noopener noreferrer" target="_blank">&gt;&gt;259</a> <br> 金は無限にあるからな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:48.75 ID:OHE6JKVN0<> サミタ配信しようぜ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/06(日) 21:23:52.06 ID:ZTr3Yk0y0<> サロメ落ち目になるや否やぺっさんに媚びたのはダサいよな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:52.75 ID:NZutvmjf0<> イェイイェイイェイウォウウォウウォウ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:52.80 ID:FWCRhxlp0<> 運動会？ <br> あれ前座な(笑) <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:53.92 ID:iKFGF5iq0<> 爆死してぺこらがキレて <br>  <br> このままFGO引退する確率ってどれくらいあるんだ？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:56.26 ID:66mD50/w0<> <a href="../test/read.cgi/livemegami/1667737205/257" rel="noopener noreferrer" target="_blank">&gt;&gt;257</a> <br> 婆さん呼びはアフィってにじあんで見た <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:57.01 ID:k3xswXAQ0<> ぺっさん運ないようで運あって草やわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:57.80 ID:yD6rq87R0<> これで出ないでブチ切れてFGO消したら伝説になれる <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:23:58.91 ID:fT5kM3EX0<> イェイ！イェイ！イェイ！イェイ！イェイ！ <br> ウォウ！ウォウ！ウォウ！ウォウ！ <br> 　 　 －＝≡ 　　∩∩　 <br> 　－＝≡　 　.ヽ( ' ω') / <br> －＝≡　　 　　(　　/ <br> 　－＝≡　　 （　 ⌒) <br> 　　－＝≡　　し し' <br>  <br>  <br> イェイ！イェイ！イェイ！イェイ！イェイ！ <br> ウォウ！ウォウ！ウォウ！ウォウ！ <br> 　 　 －＝≡ 　　∩∩　 <br> 　－＝≡　 　.ヽ( ' ω') / <br> －＝≡　　 　　(　　/ <br> 　－＝≡　　 （　 ⌒) <br> 　　－＝≡　　し し' <br>  <br>  <br> イェイ！イェイ！イェイ！イェイ！イェイ！ <br> ウォウ！ウォウ！ウォウ！ウォウ！ <br> 　 　 －＝≡ 　　∩∩　 <br> 　－＝≡　 　.ヽ( ' ω') / <br> －＝≡　　 　　(　　/ <br> 　－＝≡　　 （　 ⌒) <br> 　　－＝≡　　し し' <br>  <br>  <br> イェイ！イェイ！イェイ！イェイ！イェイ！ <br> ウォウ！ウォウ！ウォウ！ウォウ！ <br> 　 　 －＝≡ 　　∩∩　 <br> 　－＝≡　 　.ヽ( ' ω') / <br> －＝≡　　 　　(　　/ <br> 　－＝≡　　 （　 ⌒) <br> 　　－＝≡　　し し' <br>  <br>  <br> イェイ！イェイ！イェイ！イェイ！イェイ！ <br> ウォウ！ウォウ！ウォウ！ウォウ！ <br> 　 　 －＝≡ 　　∩∩　 <br> 　－＝≡　 　.ヽ( ' ω') / <br> －＝≡　　 　　(　　/ <br> 　－＝≡　　 （　 ⌒) <br> 　　－＝≡　　し し' <br>  <br>  <br> イェイ！イェイ！イェイ！イェイ！イェイ！ <br> ウォウ！ウォウ！ウォウ！ウォウ！ <br> 　 　 －＝≡ 　　∩∩　 <br> 　－＝≡　 　.ヽ( ' ω') / <br> －＝≡　　 　　(　　/ <br> 　－＝≡　　 （　 ⌒) <br> 　　－＝≡　　し し' <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/06(日) 21:24:00.28 ID:82QAHXH70<> FGOって本当にそんな面白いのか？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:02.23 ID:yhML8Yl50<> ぺこら、平成歌謡ショーやろう <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:02.40 ID:UgeMcMRr0<> ぺこーらが我慢して貯めた石が消えていく&#129402; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:06.17 ID:wzY6Aeyt0<> ころさんお疲れ様 <br>  <br> 朝からお仕事で、今やっと終わったよ～！ <br> めちゃ長かったけど楽しかった&#128563; <br>  <br> みんなに会えないの辛いけど明日も朝からなのでしっかり休みます&#128716; <br> ちなみに明日は19時からソニックステーションに出るでな～&#129428;&#128153; <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/06(日) 21:24:07.89 ID:y7GaQXFc0<> <a href="../test/read.cgi/livemegami/1667737205/262" rel="noopener noreferrer" target="_blank">&gt;&gt;262</a> <br> ∩∩ <br> ( ' ω')ｺﾚｶﾞ王ｯﾃﾜｰｹ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:08.08 ID:jrBLFezF0<> 今年13万でそうな配信新人の初配信ぐらいだよな <br> ずっとガチャ以下か <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:09.03 ID:42skAX6p0<> <a href="../test/read.cgi/livemegami/1667737205/89" rel="noopener noreferrer" target="_blank">&gt;&gt;89</a> <br> ぺこら新衣装ライブ2021年 (令和3年) 12月19日 <br> 187,753人 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:09.61 ID:rhCNxnjb0<> 13.2万 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:10.15 ID:Q7QVbdfX0<> <a href="../test/read.cgi/livemegami/1667737205/287" rel="noopener noreferrer" target="_blank">&gt;&gt;287</a> <br> 10万レベルは人が人を呼ぶ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:10.40 ID:yAHdrzFM0<> <a href="../test/read.cgi/livemegami/1667737205/114" rel="noopener noreferrer" target="_blank">&gt;&gt;114</a> <br> 今更のモルガンガチャじゃなかったら余裕で超えてるわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/06(日) 21:24:11.50 ID:PyXgor8C0<> なあ <br>  <br> 運動会覚えてる？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:12.04 ID:Z15XnDor0<> TRFとか <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:12.81 ID:uKenbvQZ0<> <a href="../test/read.cgi/livemegami/1667737205/194" rel="noopener noreferrer" target="_blank">&gt;&gt;194</a> <br> サロメでスレ散々荒らしといて何いってんだ？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:13.57 ID:EfFe/G4d0<> もしかして星51枚も出てないんか？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:14.04 ID:p7OBd5Bq0<> <a href="../test/read.cgi/livemegami/1667737205/254" rel="noopener noreferrer" target="_blank">&gt;&gt;254</a> <br> これにイチャモンつけてた奴が居たらしいな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:15.03 ID:Ho5s36jZ0<> ガチャ爆死っぽいけどすごい嬉しそう <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:15.52 ID:Txrf6J7A0<> もういつでてもいいぞ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:17.60 ID:qjX/hfcx0<> たぁのペクス見ろ！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:18.86 ID:WfoidiL40<> <a href="../test/read.cgi/livemegami/1667737205/283" rel="noopener noreferrer" target="_blank">&gt;&gt;283</a> <br> ぺっさんの代表作だからなこれ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:19.30 ID:59KaUhS00<> FGO民だけど <br> このガチャ運の悪さは異常 <br> 俺なら吐いてる <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:19.70 ID:ONxb83en0<> そろそろモルガンじゃないにしても星5鯖出しとかないとネガキャンなるだろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/06(日) 21:24:20.72 ID:dnM5YREv0<> <a href="../test/read.cgi/livemegami/1667737205/279" rel="noopener noreferrer" target="_blank">&gt;&gt;279</a> <br> デュラハンとシートン動物記の犬っころ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:21.13 ID:AEx05Fl+0<> <a href="../test/read.cgi/livemegami/1667737205/305" rel="noopener noreferrer" target="_blank">&gt;&gt;305</a> <br> 言っていい？ <br> クソつまらんぞ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:21.64 ID:FLofOGhi0<> これ天井はあんの？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:21.75 ID:twDD74eg0<> <a href="../test/read.cgi/livemegami/1667737205/247" rel="noopener noreferrer" target="_blank">&gt;&gt;247</a> <br> えにからに通報したわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:22.13 ID:EPSS5Z8g0<> ぺこらのイェイイェイイェイ久々にきいたわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:24.37 ID:rWp4x53B0<> これは出ないほうが美味しいな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/06(日) 21:24:24.93 ID:82QAHXH70<> <a href="../test/read.cgi/livemegami/1667737205/215" rel="noopener noreferrer" target="_blank">&gt;&gt;215</a> <br> でもウマ娘とかのが多いんじゃないのか？ <br> それ以上なの？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:25.04 ID:OtxdooNa0<> <a href="../test/read.cgi/livemegami/1667737205/304" rel="noopener noreferrer" target="_blank">&gt;&gt;304</a> <br> わぁ！？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/06(日) 21:24:25.19 ID:m/XA+sHK0<> 14万行くか？？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:26.72 ID:1JTZWLaY0<> <a href="../test/read.cgi/livemegami/1667737205/222" rel="noopener noreferrer" target="_blank">&gt;&gt;222</a> <br> ライブの質とか言ったらホロライブよりホロスタのが上やろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:28.60 ID:EJlFIYJ50<> まだ伸びてるの草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:28.60 ID:S1ADUecs0<> ぺこちゃんは自分の最も人を集めた配信がガチ引きましたってゲーム配信者としてそれでいいのか? <br> 複雑だわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/06(日) 21:24:30.27 ID:chvxA28J0<> 中々モルガン出ないぺっさんと30連でモルガン出ちゃったこよりとで配信者としての持ってるかの差が見えちゃうわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:31.59 ID:bVRfYsDU0<> ガチャ配信で運動会を大差でぶち抜くのさすが王やな&#128526; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:32.08 ID:GTbfM9O30<> 133000どりゃ！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:32.81 ID:Txrf6J7A0<> <a href="../test/read.cgi/livemegami/1667737205/318" rel="noopener noreferrer" target="_blank">&gt;&gt;318</a> <br> でてないぞ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:33.73 ID:Jbdx0J3b0<> <a href="../test/read.cgi/livemegami/1667737205/108" rel="noopener noreferrer" target="_blank">&gt;&gt;108</a> <br> 去年の7月がピークか <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/06(日) 21:24:34.22 ID:NJWkGPl40<> くそレアなカレスコ引いてるのほんと逆に凄いわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/06(日) 21:24:34.95 ID:bEPanqIL0<> いくら回しても懐痛まない人のガチャ配信で盛り上げれるの凄いわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:36.10 ID:GVuYLUG50<> 俺のFGOはこんなにグロくもなければ金演出も来ない <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:36.36 ID:bBtkEZC90<> 一生登山してるじゃん <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:36.33 ID:Vr3dlesj0<> まだ登山してるの草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/06(日) 21:24:37.57 ID:sKrcwQOb0<> すまん <br> ホロライブ最強 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/06(日) 21:24:38.07 ID:ZbNthkRn0<> これはすいちゃんの外交効果もありますか？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/06(日) 21:24:38.66 ID:foNG5HpL0<> 133057 <>
